lv;ns;nt;no;ne;nf;method 1;method 2;method 3v1;method 3v2
3;5;9;7;5;1;0.036167592;0.024136032;0.021803879;0.027119852
3;10;18;14;11;1;0.08904463;0.068660341;0.064111068;0.067979817
3;15;26;20;15;1;0.122745773;0.101613969;0.082472379;0.095240676
3;20;35;26;20;1;0.213569657;0.185472502;0.139323132;0.156359358
3;25;44;33;25;1;0.20285197;0.159327308;0.132463418;0.167225789
3;30;53;40;30;1;0.349861914;0.240832806;0.217930472;0.263332604
3;35;61;46;35;1;0.297045274;0.269189909;0.198756906;0.219686751
3;40;70;53;40;1;0.384772872;0.299694418;0.229609631;0.277631972
3;45;79;59;44;1;0.432678561;0.356581094;0.277380905;0.309119902
3;50;88;66;50;1;0.589206125;0.577090758;0.407033644;0.417589954
