lv;ns;nt;no;ne;pf;nf;method 1;method 2;method 3v1;method 3v2
3;10;18;2;2;0.1;2;0.006287018;0.004216886;0.004007309;0.005451205
3;10;18;2;2;0.2;4;0.005491924;0.004992432;0.004506248;0.004859079
3;10;18;2;2;0.3;5;0.00474848;0.004634821;0.004211688;0.004410835
3;10;18;2;2;0.4;7;0.005056249;0.004927297;0.00464833;0.004823219
3;10;18;2;2;0.5;9;0.004792108;0.00464141;0.004525465;0.004639116
3;10;18;2;2;0.6;11;0.004362987;0.004195214;0.004210547;0.004412284
3;10;18;2;2;0.7;13;0.003743094;0.003602327;0.003569633;0.003770443
3;10;18;2;2;0.8;14;0.003810214;0.003712674;0.003681823;0.003846955
3;10;18;2;2;0.9;16;0.003813917;0.003660277;0.003637291;0.003873573
